country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
Niger,717,2870,754,673,665,698,570,556,631,608,5200,,,626,3780,1980,,4020,5050,3900,4700,5120,5190,7080,6820,7870,8470,9280
Nigeria,9880,10.8k,10.9k,10.2k,11.4k,14.9k,14.1k,19.7k,25.7k,13.3k,20.1k,19.6k,14.8k,11.6k,8450,13.4k,15k,16.7k,20.3k,24.2k,25.8k,45.8k,38.6k,44.2k,57.3k,62.6k,70.7k,82.4k
Nicaragua,1300,3720,3080,2770,2710,2600,2620,2980,2740,3110,2940,2800,2890,2800,2750,2840,3000,2810,2600,2560,2400,2450,2090,2280,2220,1910,2000,2300
Niue,1,0,2,3,1,0,5,0,3,,0,,2,1,2,0,2,0,0,1,0,0,4,0,0,0,0,0
Netherlands,1700,1730,1510,1420,1400,1360,1240,1230,1340,1320,1370,1350,1470,1590,1810,1620,1680,1490,1340,1400,1240,1410,1360,1280,1320,1130,1000,930
Norway,499,461,448,396,373,374,343,307,294,255,285,290,288,256,242,236,217,205,244,213,221,276,243,320,278,269,276,282
Nepal,1020,337,1460,700,190,52,252,1010,1600,11k,10.1k,8980,,13.2k,15.6k,19.8k,23k,24.2k,24.1k,27.4k,29.5k,29.5k,30.4k,30.9k,32k,33.5k,32.7k,32.9k
Nauru,0,2,8,0,0,0,8,6,8,0,7,,,,4,,,,,2,4,3,5,3,,11,12,3
New Zealand,474,448,437,415,404,359,320,296,295,303,348,335,317,274,352,391,352,321,365,447,344,377,329,386,371,332,344,274
Oman,1870,928,897,802,843,861,1270,616,477,478,482,442,367,281,304,276,300,298,287,249,321,292,290,255,292,261,339,328
Pakistan,316k,325k,327k,118k,91.6k,111k,149k,180k,194k,171k,157k,194k,,73.2k,,13.1k,4310,,89.6k,20.9k,11.1k,34.1k,52.8k,70.5k,94.3k,142k,177k,231k
Panama,643,580,580,429,413,614,709,765,770,672,846,863,750,1150,827,1300,1310,1470,1420,1390,1170,1710,1580,1620,1700,1640,1640,1600
Peru,16k,21.9k,21.6k,22.8k,22.8k,24.4k,24.7k,30.6k,36.9k,35.7k,37.9k,40.6k,52.5k,51.7k,48.6k,45.3k,41.7k,42.1k,43.7k,40.3k,38.7k,37.2k,36.1k,31.3k,33.1k,33.4k,34.3k,32.4k
Philippines,112k,117k,105k,106k,152k,151k,153k,164k,183k,217k,317k,207k,236k,178k,180k,119k,166k,196k,162k,146k,120k,107k,118k,133k,131k,137k,147k,141k
Palau,17,10,17,14,20,26,13,38,17,3,,6,4,25,41,19,5,15,,32,,,11,9,5,10,12,11
Papua New Guinea,2530,2510,2740,2960,3510,3450,2880,2250,4260,3400,2500,3400,2540,7450,5340,8040,3200,7980,11.3k,13k,10.5k,12.7k,11.2k,12.8k,12.7k,12.6k,12.6k,15k
Poland,25.8k,24.1k,23.7k,23.4k,22.5k,21.6k,20.6k,19.8k,18.5k,16.2k,16.1k,16.5k,16.6k,16.8k,16.6k,16k,15.4k,14k,13.3k,12.2k,10.9k,10.2k,10.1k,9680,8700,8200,8020,8020
